楼栋,单元,楼层,房号,房屋编码(25位),楼栋编码(19位),详细地址
1栋,1单元,1楼,0101,4403060090001010100010101001,4403060090001010100,深圳市滢水山庄一区1栋1楼0101室
1栋,2单元,1楼,0101,440306009000120101000120101001,4403060090001201010,深圳市滢水山庄一区1栋2单元1楼0101室
1栋,3单元,1楼,0101,440306009000130101000130101001,4403060090001301010,深圳市滢水山庄一区1栋3单元1楼0101室
1栋,1单元,1楼,0102,4403060090001010200010102001,4403060090001010200,深圳市滢水山庄一区1栋1楼0102室
1栋,2单元,1楼,0102,440306009000120102000120102001,4403060090001201020,深圳市滢水山庄一区1栋2单元1楼0102室
1栋,3单元,1楼,0102,440306009000130102000130102001,4403060090001301020,深圳市滢水山庄一区1栋3单元1楼0102室
1栋,1单元,2楼,0201,4403060090001020100010201001,4403060090001020100,深圳市滢水山庄一区1栋2楼0201室
1栋,2单元,2楼,0201,440306009000120201000120201001,4403060090001202010,深圳市滢水山庄一区1栋2单元2楼0201室
1栋,3单元,2楼,0201,440306009000130201000130201001,4403060090001302010,深圳市滢水山庄一区1栋3单元2楼0201室
1栋,1单元,2楼,0202,4403060090001020200010202001,4403060090001020200,深圳市滢水山庄一区1栋2楼0202室
1栋,2单元,2楼,0202,440306009000120202000120202001,4403060090001202020,深圳市滢水山庄一区1栋2单元2楼0202室
1栋,3单元,2楼,0202,440306009000130202000130202001,4403060090001302020,深圳市滢水山庄一区1栋3单元2楼0202室
1栋,1单元,3楼,0301,4403060090001030100010301001,4403060090001030100,深圳市滢水山庄一区1栋3楼0301室
1栋,2单元,3楼,0301,440306009000120301000120301001,4403060090001203010,深圳市滢水山庄一区1栋2单元3楼0301室
1栋,3单元,3楼,0301,440306009000130301000130301001,4403060090001303010,深圳市滢水山庄一区1栋3单元3楼0301室
1栋,1单元,3楼,0302,4403060090001030200010302001,4403060090001030200,深圳市滢水山庄一区1栋3楼0302室
1栋,2单元,3楼,0302,440306009000120302000120302001,4403060090001203020,深圳市滢水山庄一区1栋2单元3楼0302室
1栋,3单元,3楼,0302,440306009000130302000130302001,4403060090001303020,深圳市滢水山庄一区1栋3单元3楼0302室
1栋,1单元,4楼,0401,4403060090001040100010401001,4403060090001040100,深圳市滢水山庄一区1栋4楼0401室
1栋,2单元,4楼,0401,440306009000120401000120401001,4403060090001204010,深圳市滢水山庄一区1栋2单元4楼0401室
1栋,3单元,4楼,0401,440306009000130401000130401001,4403060090001304010,深圳市滢水山庄一区1栋3单元4楼0401室
1栋,1单元,4楼,0402,4403060090001040200010402001,4403060090001040200,深圳市滢水山庄一区1栋4楼0402室
1栋,2单元,4楼,0402,440306009000120402000120402001,4403060090001204020,深圳市滢水山庄一区1栋2单元4楼0402室
1栋,3单元,4楼,0402,440306009000130402000130402001,4403060090001304020,深圳市滢水山庄一区1栋3单元4楼0402室
1栋,1单元,5楼,0501,4403060090001050100010501001,4403060090001050100,深圳市滢水山庄一区1栋5楼0501室
1栋,2单元,5楼,0501,440306009000120501000120501001,4403060090001205010,深圳市滢水山庄一区1栋2单元5楼0501室
1栋,3单元,5楼,0501,440306009000130501000130501001,4403060090001305010,深圳市滢水山庄一区1栋3单元5楼0501室
1栋,1单元,5楼,0502,4403060090001050200010502001,4403060090001050200,深圳市滢水山庄一区1栋5楼0502室
1栋,2单元,5楼,0502,440306009000120502000120502001,4403060090001205020,深圳市滢水山庄一区1栋2单元5楼0502室
1栋,3单元,5楼,0502,440306009000130502000130502001,4403060090001305020,深圳市滢水山庄一区1栋3单元5楼0502室
1栋,1单元,6楼,0601,4403060090001060100010601001,4403060090001060100,深圳市滢水山庄一区1栋6楼0601室
1栋,2单元,6楼,0601,440306009000120601000120601001,4403060090001206010,深圳市滢水山庄一区1栋2单元6楼0601室
1栋,3单元,6楼,0601,440306009000130601000130601001,4403060090001306010,深圳市滢水山庄一区1栋3单元6楼0601室
1栋,1单元,6楼,0602,4403060090001060200010602001,4403060090001060200,深圳市滢水山庄一区1栋6楼0602室
1栋,2单元,6楼,0602,440306009000120602000120602001,4403060090001206020,深圳市滢水山庄一区1栋2单元6楼0602室
1栋,3单元,6楼,0602,440306009000130602000130602001,4403060090001306020,深圳市滢水山庄一区1栋3单元6楼0602室
1栋,1单元,7楼,0701,4403060090001070100010701001,4403060090001070100,深圳市滢水山庄一区1栋7楼0701室
1栋,2单元,7楼,0701,440306009000120701000120701001,4403060090001207010,深圳市滢水山庄一区1栋2单元7楼0701室
1栋,3单元,7楼,0701,440306009000130701000130701001,4403060090001307010,深圳市滢水山庄一区1栋3单元7楼0701室
1栋,1单元,7楼,0702,4403060090001070200010702001,4403060090001070200,深圳市滢水山庄一区1栋7楼0702室
1栋,2单元,7楼,0702,440306009000120702000120702001,4403060090001207020,深圳市滢水山庄一区1栋2单元7楼0702室
1栋,3单元,7楼,0702,440306009000130702000130702001,4403060090001307020,深圳市滢水山庄一区1栋3单元7楼0702室
1栋,1单元,8楼,0801,4403060090001080100010801001,4403060090001080100,深圳市滢水山庄一区1栋8楼0801室
1栋,2单元,8楼,0801,440306009000120801000120801001,4403060090001208010,深圳市滢水山庄一区1栋2单元8楼0801室
1栋,3单元,8楼,0801,440306009000130801000130801001,4403060090001308010,深圳市滢水山庄一区1栋3单元8楼0801室
1栋,1单元,8楼,0802,4403060090001080200010802001,4403060090001080200,深圳市滢水山庄一区1栋8楼0802室
1栋,2单元,8楼,0802,440306009000120802000120802001,4403060090001208020,深圳市滢水山庄一区1栋2单元8楼0802室
1栋,3单元,8楼,0802,440306009000130802000130802001,4403060090001308020,深圳市滢水山庄一区1栋3单元8楼0802室
2栋,1单元,1楼,0101,4403060090002010100020101001,4403060090002010100,深圳市滢水山庄一区2栋1楼0101室
2栋,2单元,1楼,0101,440306009000220101000220101001,4403060090002201010,深圳市滢水山庄一区2栋2单元1楼0101室
2栋,3单元,1楼,0101,440306009000230101000230101001,4403060090002301010,深圳市滢水山庄一区2栋3单元1楼0101室
2栋,1单元,1楼,0102,4403060090002010200020102001,4403060090002010200,深圳市滢水山庄一区2栋1楼0102室
2栋,2单元,1楼,0102,440306009000220102000220102001,4403060090002201020,深圳市滢水山庄一区2栋2单元1楼0102室
2栋,3单元,1楼,0102,440306009000230102000230102001,4403060090002301020,深圳市滢水山庄一区2栋3单元1楼0102室
2栋,1单元,2楼,0201,4403060090002020100020201001,4403060090002020100,深圳市滢水山庄一区2栋2楼0201室
2栋,2单元,2楼,0201,440306009000220201000220201001,4403060090002202010,深圳市滢水山庄一区2栋2单元2楼0201室
2栋,3单元,2楼,0201,440306009000230201000230201001,4403060090002302010,深圳市滢水山庄一区2栋3单元2楼0201室
2栋,1单元,2楼,0202,4403060090002020200020202001,4403060090002020200,深圳市滢水山庄一区2栋2楼0202室
2栋,2单元,2楼,0202,440306009000220202000220202001,4403060090002202020,深圳市滢水山庄一区2栋2单元2楼0202室
2栋,3单元,2楼,0202,440306009000230202000230202001,4403060090002302020,深圳市滢水山庄一区2栋3单元2楼0202室
2栋,1单元,3楼,0301,4403060090002030100020301001,4403060090002030100,深圳市滢水山庄一区2栋3楼0301室
2栋,2单元,3楼,0301,440306009000220301000220301001,4403060090002203010,深圳市滢水山庄一区2栋2单元3楼0301室
2栋,3单元,3楼,0301,440306009000230301000230301001,4403060090002303010,深圳市滢水山庄一区2栋3单元3楼0301室
2栋,1单元,3楼,0302,4403060090002030200020302001,4403060090002030200,深圳市滢水山庄一区2栋3楼0302室
2栋,2单元,3楼,0302,440306009000220302000220302001,4403060090002203020,深圳市滢水山庄一区2栋2单元3楼0302室
2栋,3单元,3楼,0302,440306009000230302000230302001,4403060090002303020,深圳市滢水山庄一区2栋3单元3楼0302室
2栋,1单元,4楼,0401,4403060090002040100020401001,4403060090002040100,深圳市滢水山庄一区2栋4楼0401室
2栋,2单元,4楼,0401,440306009000220401000220401001,4403060090002204010,深圳市滢水山庄一区2栋2单元4楼0401室
2栋,3单元,4楼,0401,440306009000230401000230401001,4403060090002304010,深圳市滢水山庄一区2栋3单元4楼0401室
2栋,1单元,4楼,0402,4403060090002040200020402001,4403060090002040200,深圳市滢水山庄一区2栋4楼0402室
2栋,2单元,4楼,0402,440306009000220402000220402001,4403060090002204020,深圳市滢水山庄一区2栋2单元4楼0402室
2栋,3单元,4楼,0402,440306009000230402000230402001,4403060090002304020,深圳市滢水山庄一区2栋3单元4楼0402室
2栋,1单元,5楼,0501,4403060090002050100020501001,4403060090002050100,深圳市滢水山庄一区2栋5楼0501室
2栋,2单元,5楼,0501,440306009000220501000220501001,4403060090002205010,深圳市滢水山庄一区2栋2单元5楼0501室
2栋,3单元,5楼,0501,440306009000230501000230501001,4403060090002305010,深圳市滢水山庄一区2栋3单元5楼0501室
2栋,1单元,5楼,0502,4403060090002050200020502001,4403060090002050200,深圳市滢水山庄一区2栋5楼0502室
2栋,2单元,5楼,0502,440306009000220502000220502001,4403060090002205020,深圳市滢水山庄一区2栋2单元5楼0502室
2栋,3单元,5楼,0502,440306009000230502000230502001,4403060090002305020,深圳市滢水山庄一区2栋3单元5楼0502室
2栋,1单元,6楼,0601,4403060090002060100020601001,4403060090002060100,深圳市滢水山庄一区2栋6楼0601室
2栋,2单元,6楼,0601,440306009000220601000220601001,4403060090002206010,深圳市滢水山庄一区2栋2单元6楼0601室
2栋,3单元,6楼,0601,440306009000230601000230601001,4403060090002306010,深圳市滢水山庄一区2栋3单元6楼0601室
2栋,1单元,6楼,0602,4403060090002060200020602001,4403060090002060200,深圳市滢水山庄一区2栋6楼0602室
2栋,2单元,6楼,0602,440306009000220602000220602001,4403060090002206020,深圳市滢水山庄一区2栋2单元6楼0602室
2栋,3单元,6楼,0602,440306009000230602000230602001,4403060090002306020,深圳市滢水山庄一区2栋3单元6楼0602室
2栋,1单元,7楼,0701,4403060090002070100020701001,4403060090002070100,深圳市滢水山庄一区2栋7楼0701室
2栋,2单元,7楼,0701,440306009000220701000220701001,4403060090002207010,深圳市滢水山庄一区2栋2单元7楼0701室
2栋,3单元,7楼,0701,440306009000230701000230701001,4403060090002307010,深圳市滢水山庄一区2栋3单元7楼0701室
2栋,1单元,7楼,0702,4403060090002070200020702001,4403060090002070200,深圳市滢水山庄一区2栋7楼0702室
2栋,2单元,7楼,0702,440306009000220702000220702001,4403060090002207020,深圳市滢水山庄一区2栋2单元7楼0702室
2栋,3单元,7楼,0702,440306009000230702000230702001,4403060090002307020,深圳市滢水山庄一区2栋3单元7楼0702室
2栋,1单元,8楼,0801,4403060090002080100020801001,4403060090002080100,深圳市滢水山庄一区2栋8楼0801室
2栋,2单元,8楼,0801,440306009000220801000220801001,4403060090002208010,深圳市滢水山庄一区2栋2单元8楼0801室
2栋,3单元,8楼,0801,440306009000230801000230801001,4403060090002308010,深圳市滢水山庄一区2栋3单元8楼0801室
2栋,1单元,8楼,0802,4403060090002080200020802001,4403060090002080200,深圳市滢水山庄一区2栋8楼0802室
2栋,2单元,8楼,0802,440306009000220802000220802001,4403060090002208020,深圳市滢水山庄一区2栋2单元8楼0802室
2栋,3单元,8楼,0802,440306009000230802000230802001,4403060090002308020,深圳市滢水山庄一区2栋3单元8楼0802室
3栋,1单元,1楼,0101,4403060090003010100030101001,4403060090003010100,深圳市滢水山庄一区3栋1楼0101室
3栋,2单元,1楼,0101,440306009000320101000320101001,4403060090003201010,深圳市滢水山庄一区3栋2单元1楼0101室
3栋,3单元,1楼,0101,440306009000330101000330101001,4403060090003301010,深圳市滢水山庄一区3栋3单元1楼0101室
3栋,1单元,1楼,0102,4403060090003010200030102001,4403060090003010200,深圳市滢水山庄一区3栋1楼0102室
3栋,2单元,1楼,0102,440306009000320102000320102001,4403060090003201020,深圳市滢水山庄一区3栋2单元1楼0102室
3栋,3单元,1楼,0102,440306009000330102000330102001,4403060090003301020,深圳市滢水山庄一区3栋3单元1楼0102室
3栋,1单元,2楼,0201,4403060090003020100030201001,4403060090003020100,深圳市滢水山庄一区3栋2楼0201室
3栋,2单元,2楼,0201,440306009000320201000320201001,4403060090003202010,深圳市滢水山庄一区3栋2单元2楼0201室
3栋,3单元,2楼,0201,440306009000330201000330201001,4403060090003302010,深圳市滢水山庄一区3栋3单元2楼0201室
3栋,1单元,2楼,0202,4403060090003020200030202001,4403060090003020200,深圳市滢水山庄一区3栋2楼0202室
3栋,2单元,2楼,0202,440306009000320202000320202001,4403060090003202020,深圳市滢水山庄一区3栋2单元2楼0202室
3栋,3单元,2楼,0202,440306009000330202000330202001,4403060090003302020,深圳市滢水山庄一区3栋3单元2楼0202室
3栋,1单元,3楼,0301,4403060090003030100030301001,4403060090003030100,深圳市滢水山庄一区3栋3楼0301室
3栋,2单元,3楼,0301,440306009000320301000320301001,4403060090003203010,深圳市滢水山庄一区3栋2单元3楼0301室
3栋,3单元,3楼,0301,440306009000330301000330301001,4403060090003303010,深圳市滢水山庄一区3栋3单元3楼0301室
3栋,1单元,3楼,0302,4403060090003030200030302001,4403060090003030200,深圳市滢水山庄一区3栋3楼0302室
3栋,2单元,3楼,0302,440306009000320302000320302001,4403060090003203020,深圳市滢水山庄一区3栋2单元3楼0302室
3栋,3单元,3楼,0302,440306009000330302000330302001,4403060090003303020,深圳市滢水山庄一区3栋3单元3楼0302室
3栋,1单元,4楼,0401,4403060090003040100030401001,4403060090003040100,深圳市滢水山庄一区3栋4楼0401室
3栋,2单元,4楼,0401,440306009000320401000320401001,4403060090003204010,深圳市滢水山庄一区3栋2单元4楼0401室
3栋,3单元,4楼,0401,440306009000330401000330401001,4403060090003304010,深圳市滢水山庄一区3栋3单元4楼0401室
3栋,1单元,4楼,0402,4403060090003040200030402001,4403060090003040200,深圳市滢水山庄一区3栋4楼0402室
3栋,2单元,4楼,0402,440306009000320402000320402001,4403060090003204020,深圳市滢水山庄一区3栋2单元4楼0402室
3栋,3单元,4楼,0402,440306009000330402000330402001,4403060090003304020,深圳市滢水山庄一区3栋3单元4楼0402室
3栋,1单元,5楼,0501,4403060090003050100030501001,4403060090003050100,深圳市滢水山庄一区3栋5楼0501室
3栋,2单元,5楼,0501,440306009000320501000320501001,4403060090003205010,深圳市滢水山庄一区3栋2单元5楼0501室
