楼栋,单元,楼层,房号,房屋编码(25位),楼栋编码(19位),详细地址
1栋,1单元,1楼,0101,44031101101010011011001,4403110110101001101,深圳市龙华区滢水山庄一区1栋1单元1楼0101室
1栋,1单元,1楼,0102,44031101101020011012001,4403110110102001101,深圳市龙华区滢水山庄一区1栋1单元1楼0102室
1栋,1单元,2楼,0201,44031101102010011021001,4403110110201001102,深圳市龙华区滢水山庄一区1栋1单元2楼0201室
1栋,1单元,2楼,0202,44031101102020011022001,4403110110202001102,深圳市龙华区滢水山庄一区1栋1单元2楼0202室
1栋,1单元,3楼,0301,44031101103010011031001,4403110110301001103,深圳市龙华区滢水山庄一区1栋1单元3楼0301室
1栋,1单元,3楼,0302,44031101103020011032001,4403110110302001103,深圳市龙华区滢水山庄一区1栋1单元3楼0302室
1栋,1单元,4楼,0401,44031101104010011041001,4403110110401001104,深圳市龙华区滢水山庄一区1栋1单元4楼0401室
1栋,1单元,4楼,0402,44031101104020011042001,4403110110402001104,深圳市龙华区滢水山庄一区1栋1单元4楼0402室
1栋,1单元,5楼,0501,44031101105010011051001,4403110110501001105,深圳市龙华区滢水山庄一区1栋1单元5楼0501室
1栋,1单元,5楼,0502,44031101105020011052001,4403110110502001105,深圳市龙华区滢水山庄一区1栋1单元5楼0502室
1栋,1单元,6楼,0601,44031101106010011061001,4403110110601001106,深圳市龙华区滢水山庄一区1栋1单元6楼0601室
1栋,1单元,6楼,0602,44031101106020011062001,4403110110602001106,深圳市龙华区滢水山庄一区1栋1单元6楼0602室
1栋,1单元,7楼,0701,44031101107010011071001,4403110110701001107,深圳市龙华区滢水山庄一区1栋1单元7楼0701室
1栋,1单元,7楼,0702,44031101107020011072001,4403110110702001107,深圳市龙华区滢水山庄一区1栋1单元7楼0702室
1栋,1单元,8楼,0801,44031101108010011081001,4403110110801001108,深圳市龙华区滢水山庄一区1栋1单元8楼0801室
1栋,1单元,8楼,0802,44031101108020011082001,4403110110802001108,深圳市龙华区滢水山庄一区1栋1单元8楼0802室
1栋,2单元,1楼,0101,44031101201010012011001,4403110120101001201,深圳市龙华区滢水山庄一区1栋2单元1楼0101室
1栋,2单元,1楼,0102,44031101201020012012001,4403110120102001201,深圳市龙华区滢水山庄一区1栋2单元1楼0102室
1栋,2单元,2楼,0201,44031101202010012021001,4403110120201001202,深圳市龙华区滢水山庄一区1栋2单元2楼0201室
1栋,2单元,2楼,0202,44031101202020012022001,4403110120202001202,深圳市龙华区滢水山庄一区1栋2单元2楼0202室
1栋,2单元,3楼,0301,44031101203010012031001,4403110120301001203,深圳市龙华区滢水山庄一区1栋2单元3楼0301室
1栋,2单元,3楼,0302,44031101203020012032001,4403110120302001203,深圳市龙华区滢水山庄一区1栋2单元3楼0302室
1栋,2单元,4楼,0401,44031101204010012041001,4403110120401001204,深圳市龙华区滢水山庄一区1栋2单元4楼0401室
1栋,2单元,4楼,0402,44031101204020012042001,4403110120402001204,深圳市龙华区滢水山庄一区1栋2单元4楼0402室
1栋,2单元,5楼,0501,44031101205010012051001,4403110120501001205,深圳市龙华区滢水山庄一区1栋2单元5楼0501室
1栋,2单元,5楼,0502,44031101205020012052001,4403110120502001205,深圳市龙华区滢水山庄一区1栋2单元5楼0502室
1栋,2单元,6楼,0601,44031101206010012061001,4403110120601001206,深圳市龙华区滢水山庄一区1栋2单元6楼0601室
1栋,2单元,6楼,0602,44031101206020012062001,4403110120602001206,深圳市龙华区滢水山庄一区1栋2单元6楼0602室
1栋,2单元,7楼,0701,44031101207010012071001,4403110120701001207,深圳市龙华区滢水山庄一区1栋2单元7楼0701室
1栋,2单元,7楼,0702,44031101207020012072001,4403110120702001207,深圳市龙华区滢水山庄一区1栋2单元7楼0702室
1栋,2单元,8楼,0801,44031101208010012081001,4403110120801001208,深圳市龙华区滢水山庄一区1栋2单元8楼0801室
1栋,2单元,8楼,0802,44031101208020012082001,4403110120802001208,深圳市龙华区滢水山庄一区1栋2单元8楼0802室
1栋,3单元,1楼,0101,44031101301010013011001,4403110130101001301,深圳市龙华区滢水山庄一区1栋3单元1楼0101室
1栋,3单元,1楼,0102,44031101301020013012001,4403110130102001301,深圳市龙华区滢水山庄一区1栋3单元1楼0102室
1栋,3单元,2楼,0201,44031101302010013021001,4403110130201001302,深圳市龙华区滢水山庄一区1栋3单元2楼0201室
1栋,3单元,2楼,0202,44031101302020013022001,4403110130202001302,深圳市龙华区滢水山庄一区1栋3单元2楼0202室
1栋,3单元,3楼,0301,44031101303010013031001,4403110130301001303,深圳市龙华区滢水山庄一区1栋3单元3楼0301室
1栋,3单元,3楼,0302,44031101303020013032001,4403110130302001303,深圳市龙华区滢水山庄一区1栋3单元3楼0302室
1栋,3单元,4楼,0401,44031101304010013041001,4403110130401001304,深圳市龙华区滢水山庄一区1栋3单元4楼0401室
1栋,3单元,4楼,0402,44031101304020013042001,4403110130402001304,深圳市龙华区滢水山庄一区1栋3单元4楼0402室
1栋,3单元,5楼,0501,44031101305010013051001,4403110130501001305,深圳市龙华区滢水山庄一区1栋3单元5楼0501室
1栋,3单元,5楼,0502,44031101305020013052001,4403110130502001305,深圳市龙华区滢水山庄一区1栋3单元5楼0502室
1栋,3单元,6楼,0601,44031101306010013061001,4403110130601001306,深圳市龙华区滢水山庄一区1栋3单元6楼0601室
1栋,3单元,6楼,0602,44031101306020013062001,4403110130602001306,深圳市龙华区滢水山庄一区1栋3单元6楼0602室
1栋,3单元,7楼,0701,44031101307010013071001,4403110130701001307,深圳市龙华区滢水山庄一区1栋3单元7楼0701室
